OBJECTID;COD_EMPRES;COD_FUNDO;NOM_FUNDO;COD_EMP_PR;COD_EMP__1;COD_FUN_OP;COD_SUBGER;DSC_SUBGER;COD_Z_ADM_;DSC_Z_ADM_;NOM_Z_ADM_;COD_S_ADM_;DSC_S_ADM_;NOM_S_ADM_;COD_Z_PROD;DSC_Z_PROD;NOM_Z_PROD;COD_TIPO_P;DSC_TIPO_P;COD_REGION;NOM_REGION;COD_PROVIN;NOM_PROVIN;COD_COMUNA;NOM_COMUNA;N_ID_COMPL;DSC_COMPLE;N_ID_RESTR;C_DSC_REST;N_ID_BARRI;C_NOM_BARR;C_SIMBOLOG;F_LATITUD;F_LONGITUD;SUP_ACTUAL;FECHA_CART;ID_FUNDO;SHAPE_Leng;SHAPE_Area;Area;Barrio;NCR;COD_NCR;JefeSector
422;90;1405;PARCELA 8 SAN PEDRO LOTE B1-B Y B1-C;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;447;MULCHEN;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.76657000000;-71.98387600000;20.37000000000;;780;2098.81220896000;203338.62805000000;Mulchen;Baquecha;Bajo;4;EMANUEL BOBADILLA
488;90;1420;ANCUD Y OTROS;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.70694800000;-72.00604600000;493.63000000000;;792;20831.73525560000;4944190.07340000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
491;90;1423;PARCELA.20 TIERRAS PARA CHILE LOTE 1;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.67484600000;-72.10202700000;32.82000000000;;795;3488.52373270000;328940.30860100000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
509;90;1442;PARC 6 SAN PEDRO LOTE 1;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;447;MULCHEN;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.75967600000;-71.99185500000;17.48000000000;;813;2770.61523142000;173527.87960000000;Mulchen;Baquecha;Bajo;4;EMANUEL BOBADILLA
517;90;1450;HIJUELAS SAN LUIS;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.76392500000;-71.83892700000;35.59000000000;;821;3769.28139973000;356006.98560100000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
527;90;1461;PARCELA 58 QUILAPALOS;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.73349100000;-71.94971000000;54.75000000000;;832;3644.22592336000;547279.97820000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
528;90;1462;LIRQUEN CHICO;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.76212800000;-71.86535400000;9.10000000000;;833;1731.98492352000;90708.36525000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
529;90;1463;RUCATATA Y SAN FRANCISCO;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.73655400000;-71.86953200000;108.70000000000;;834;6259.14504185000;1087673.11825000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
590;90;1469;BELLAVISTA LOTE B;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.75420400000;-71.84947500000;153.11000000000;;840;8236.56688722000;1529962.19100000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
605;90;1484;PARCELA 9 ANCUD LOTE 1B;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.71358600000;-71.96402800000;40.73000000000;;855;4354.47969267000;406125.84310000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
611;90;1491;PARCELAS QUILAPALOS;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.77268000000;-71.90122200000;432.46000000000;;862;12059.22483850000;4324032.93495000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
620;90;1500;PARCELA 8 LOTE B1E;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;447;MULCHEN;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.76672100000;-71.97489500000;10.21000000000;;871;1370.29571534000;101476.26655000000;Mulchen;Baquecha;Bajo;4;EMANUEL BOBADILLA
929;90;1853;QUILAPALOS PARCELA 126 LOTE E;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.79208300000;-71.94232800000;38.91000000000;;1046;3263.25910530000;388503.96390000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
935;90;1859;QUILAPALOS PARCELA 126 LOTE 2A;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.81376000000;-71.93901400000;27.34000000000;;1052;3346.43848095000;270414.74325000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
936;90;1860;QUILAPALOS PARCELA 126 LOTE 2B;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.81297200000;-71.94075100000;25.21000000000;;1053;3337.91358773000;251359.96790000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
937;90;1861;QUILAPALOS PARCELA 126 LOTE 3C;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.81232800000;-71.94253600000;25.90000000000;;1054;3471.66050344000;260677.11575000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
938;90;1862;QUILAPALOS PARCELA 126 LOTE 3D;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.81343000000;-71.94562800000;22.03000000000;;1055;3065.53230105000;220820.85445000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
957;90;3036;LOMAS COLORADAS;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.67460300000;-72.09570200000;93.88000000000;;1074;3870.16518090000;938626.71695000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
958;90;3037;LOS CIPRESES;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.69583800000;-72.09896100000;343.29000000000;01-09-2025;1075;18328.53945160000;3432314.28510000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
960;90;3039;BRETANA;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.71219500000;-72.06313000000;1625.45000000000;01-09-2025;1077;42287.13446660000;16254277.36570000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
961;90;3040;LAS MERCEDES;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.72897900000;-71.99548500000;767.59000000000;;1078;22106.64228340000;7677229.34120000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
998;90;3078;EL ROSAL;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.75068200000;-71.87091700000;101.82000000000;;1116;6279.54046590000;1016924.54275000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
1001;90;3082;QUILAPALOS 1;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.72476800000;-71.92654900000;42.75000000000;;1119;2726.58064645000;427278.22225000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
1002;90;3083;QUILAPALOS 2;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.79403800000;-71.86056200000;44.45000000000;;1120;4027.14260077000;443786.07530000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
1011;90;3092;HUINQUEN;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.71914800000;-71.85937800000;156.55000000000;;1129;6213.81514117000;1563566.93025000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
1144;90;1110;LOS COMPADRES;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.79219900000;-71.72360300000;151.96000000000;;2642;6828.84761578000;1520687.22835000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
1163;90;1555;BAQUECHA Y OTROS;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.79043900000;-71.79661800000;1564.66000000000;;2938;23624.49561460000;15644547.23890000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
1504;90;2328;PARCELA 8 ANCUD;90;82;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;4;USUFRUCTO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.71211500000;-71.96999600000;14.07000000000;;6219;1893.40388942000;206975.06570000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
1585;90;1047;ANCUD;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.71064800000;-71.98377200000;264.56000000000;;4561;12187.61860690000;2643969.97845000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
1694;90;787;SAN DIEGO Y OTROS;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;447;MULCHEN;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.77242900000;-72.00767500000;0.97000000000;;5277;1126.01372368000;9286.23280003000;Mulchen;Baquecha;Bajo;4;EMANUEL BOBADILLA
2373;90;782;TIERRAS PARA CHILE PARCELA 21;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.67437600000;-72.10584800000;45.61000000000;;461;3156.78198284000;454174.45555000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
2374;90;783;TIERRAS PARA CHILE PARC.35-36-37-39;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.68979700000;-72.08197300000;292.63000000000;;462;13047.93057380000;2930115.84395000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
2376;90;785;SAN PEDRO PARCELA 7;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;447;MULCHEN;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.76417100000;-71.99136300000;55.06000000000;;464;4338.08974895000;552420.94320000000;Mulchen;Baquecha;Bajo;4;EMANUEL BOBADILLA
2386;90;797;PARCELA 89 QUILAPALOS;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.79953400000;-71.90923600000;144.37000000000;;474;7053.73730308000;1443137.36515000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
2392;90;804;PARCELA 84 QUILAPALOS LOTE 4;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.78867000000;-71.91520400000;22.07000000000;;480;3112.62103599000;220759.06305000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
